candidate,word 1,word 2,word 3,word 4,word 5,word 6,word 7,word 8,word 9,word 10,word 11,word 12,word 13,word 14,word 15,word 16,word 17,word 18,word 19,word 20,word 21,word 22,word 23,word 24,word 25,word 26,word 27,word 28,word 29,word 30,word 31,word 32,word 33,word 34,word 35,word 36,word 37,word 38,word 39,word 40,word 41,word 42,word 43,word 44,word 45,word 46,word 47,word 48,word 49,word 50
Warren,big-58,public-42,get-35,fight-30,schools-27,make-27,trump-26,change-26,people-26,can-26,grassroots-24,school-24,plan-24,time-23,got-20,fighting-20,money-19,climate-18,facebook-18,structural-17,im-17,ill-17,i’m-16,donald-15,campaign-14,movement-13,corruption-13,students-13,crisis-13,president-13,education-12,million-12,call-12,ive-11,it’s-11,administration-11,going-11,political-11,student-11,families-11,donors-11,hard-10,everyone-10,trump’s-10,care-10,politics-10,america-10,end-9,new-9,today-9
Biden,president-85,trump-80,donald-39,american-24,care-20,health-20,i’m-20,make-20,going-19,take-19,rights-18,stand-18,power-18,biden-17,ensure-16,work-16,get-16,day-15,end-14,against-14,violence-14,cannot-14,tax-14,years-13,it’s-13,time-13,plan-13,beat-13,lgbtq-13,world-13,fight-13,middle-13,foreign-13,like-13,americans-12,today-12,let-12,know-12,united-11,live-11,i’ll-11,elections-11,gun-10,administration-10,full-10,house-10,trump’s-10,joe-10,clear-10,enough-10
Booker,president-29,country-20,people-19,today-17,poverty-16,can-16,child-15,love-15,time-14,campaign-14,own-14,justice-14,end-13,live-12,gun-12,rights-12,health-12,fight-12,know-12,it’s-11,plan-11,care-11,join-11,work-11,women-10,communities-10,team-10,big-10,help-10,proud-10,americans-9,american-9,violence-9,black-9,white-9,grassroots-8,impeachment-8,house-8,make-8,democracy-8,reproductive-7,moral-7,everyone-7,another-7,way-7,trump-7,opportunity-7,im-7,stand-7,forward-7
Yang,today-15,q-12,get-11,new-10,yang-10,got-9,andrew-9,questions-9,like-9,people-8,math-8,see-7,back-7,i’m-7,love-7,future-6,tonight-6,hat-6,candidate-6,hampshire-6,forward-6,coming-6,problem-6,work-6,data-6,democratic-5,automation-5,iowa-5,things-5,way-5,time-5,great-5,right-5,make-5,can-5,live-4,working-4,saying-4,dividend-4,team-4,away-4,hey-4,having-4,freedom-4,answering-4,day-4,win-4,looking-4,jobs-4,talk-4
Sanders,going-43,people-40,country-32,new-26,stand-23,end-21,fight-21,corporate-20,movement-18,win-18,bernie-18,workers-18,trump-17,rally-16,join-16,can-16,right-15,greed-14,america-14,americans-13,york-13,working-12,take-12,president-12,health-12,justice-12,medicare-11,american-10,guarantee-10,care-10,sanders-10,ready-10,history-9,im-9,political-9,campaign-9,queens-8,companies-8,green-8,time-8,class-8,tomorrow-8,work-8,pay-7,years-7,system-7,against-7,defeat-7,powerful-7,donald-7
Harris,trump-30,president-29,fight-20,can-20,people-19,time-18,community-16,donald-16,it’s-16,lgbtq+-16,women-14,america-14,like-14,today-13,care-13,plan-12,health-12,children-11,first-11,justice-11,american-10,native-10,rights-10,violence-10,communities-10,house-10,protect-10,access-10,better-9,system-9,administration-9,tribal-9,day-9,history-9,workers-9,ensure-9,help-9,white-8,right-8,made-8,work-8,get-8,power-8,discrimination-7,family-7,against-7,trans-7,back-7,i’m-7,birthday-7
Gabbard,tulsi-57,gabbard-34,people-33,live-31,road-30,war-20,country-19,hall-18,town-17,ia-15,american-14,time-14,change-14,first-14,trump-13,president-13,new-12,united-11,regime-11,americans-10,it’s-10,protect-10,nh-10,syria-10,forum-9,powerful-9,day-9,morning-9,end-8,putting-8,kurds-8,join-8,government-8,stand-8,campaign-8,support-8,love-8,sister-7,good-7,against-7,debate-7,race-7,al-qaeda-7,bring-7,saudi-7,right-7,party-7,world-7,political-7,i’m-7
Castro,violence-31,people-27,police-23,de-17,make-17,race-15,support-15,gun-14,@juliancastro-14,i’m-14,housing-13,donate-13,issues-13,trump-12,castro-12,campaign-12,justice-12,candidate-11,la-11,help-11,system-10,new-10,care-10,great-10,fight-10,proud-10,y-9,debate-9,en-9,immigration-9,country-9,que-9,like-9,rights-8,communities-8,law-8,day-8,keep-8,para-8,julián-8,work-8,get-8,first-8,can-8,reproductive-7,end-7,years-7,reform-7,las-7,put-7
Klobuchar,president-39,stop-31,tour-25,great-25,trump-24,new-23,can-23,iowa-22,state-21,people-20,today-18,hampshire-17,donald-16,day-16,win-16,make-15,campaign-15,good-14,big-14,america-14,get-14,time-13,going-13,minnesota-12,like-12,rural-11,debate-11,plan-11,right-11,back-11,first-11,want-10,administration-10,house-10,momentum-10,we’re-10,forward-10,ten-county-10,country-10,bus-10,year-9,americans-9,two-9,thirty-hour-9,county-9,ohio-8,better-8,gun-8,another-8,team-8
ORourke,country-35,trump-30,people-29,president-26,like-21,america-19,violence-17,right-17,can-17,stand-16,end-15,today-15,lives-14,join-14,americans-13,gun-13,live-12,women-12,want-12,day-12,lets-11,it’s-11,fear-11,make-11,epidemic-11,own-11,against-10,name-10,plan-10,see-10,back-10,killed-10,congress-10,rights-9,law-9,accountable-9,care-9,hold-9,needs-9,health-9,fighting-9,public-9,year-8,question-8,everyone-8,kids-8,thing-8,going-8,paso-8,quarter-8
Trump,warmest-1,kind-1,forward-1,words-1,please-1,regards-1,people-1,look-1,courage-1,soon-1,extend-1,general-1,seeing-1,kurdish-1,mazloum-1,
